ENSG00000158828,ENSG00000143799,ENSG00000135624,ENSG00000144029,ENSG00000270141,ENSG00000109610,ENSG00000164362,ENSG00000150753,ENSG00000146731,ENSG00000096717,ENSG00000151892,ENSG00000172890,ENSG00000139112,ENSG00000166226,ENSG00000177169,ENSG00000150907,ENSG00000129484,ENSG00000198258,ENSG00000156261,Age
0.222416813,0.024644483,0.154220665,0.085709282,0,0.000964273,0.000193135,0.22290718,0.085674256,0.011152364,5.31E-05,0.127565674,0.16966725,0.070367776,0.172784588,0.019425569,0.00669352,1,0.100770578,65
0.828389831,0.061172316,0.295974576,0.122245763,0.000673799,0.004713983,0.000449576,0.626200565,0.190607345,0.066080508,0,0.301271186,0.510875706,0.100423729,0.794491525,0.091101695,0.011553672,1,0.215748588,65
0.50979021,0.187587413,0.353846154,0.298339161,0,0.001899476,0.000304283,0.187587413,0.160227273,0.018566434,0.000125437,0.445541958,0.966783217,0.102185315,1,0.064536713,0.019938811,0.461713287,0.287587413,65
0.198752688,0.132645161,0.460215054,0.282709677,0,0.001527312,0.000611613,0.509677419,0.314494624,0.058408602,0,0.304989247,0.136473118,0.33255914,0.223569892,0.047225806,0.035165591,1,0.455053763,65
0.248278602,0.094266419,0.288003178,0.14340572,0,0.007985964,0.000118485,0.154396186,0.151350636,0.030084746,0.000683925,0.222722458,0.704051907,0.093644068,0.399364407,0.045789195,0.015625,1,0.200741525,55
0.359418615,0.104180153,0.674346656,0.211970797,0.005788433,0.004177688,0.001029922,0.251220335,0.164452069,0.007455083,0.000106172,0.165966146,0.485552886,0.100884123,0.204633346,0.01446526,0.016328739,1.000106172,0.276027906,65
0.26218775,0.262300665,0.719717795,0.277318309,0.001796472,0.004188003,0.000479435,0.25631619,0.248299252,0.015695132,0.000197714,0.275172932,1.000197714,0.132561765,0.639435499,0.083522945,0.022899085,0.839068549,0.412815855,55
0.21899146,0.117832452,0.420801139,0.193269622,0,0.004897316,0.000196218,0.252948353,0.160532737,0.014589264,0.000202216,0.180662871,0.700284669,0.103497357,0.39894266,0.032228548,0.017578284,1,0.242781619,65
0.65157824,0.014157152,0.08051041,0.063465413,0,0.006017461,0,0.045104097,0.035728677,0.004871726,0.000229281,0.049200806,0.167494963,0.034036266,0.054022834,0.006338482,0.002507723,1,0.040550705,55
0.235540406,0.21992407,0.757068461,0.284260496,0.002808782,0.005988901,0.000599754,0.352123192,0.278503322,0.019099427,0.000309088,0.266269326,0.553552339,0.136876826,0.456256088,0.045452894,0.032700752,1.000309088,0.355721426,45
0.350094805,0.024122108,0.132195677,0.050929086,0,0.000569587,0,0.18649981,0.049753508,0.014258627,3.14E-05,0.099658703,0.143458476,0.044975351,0.161926432,0.024452029,0.004497535,1,0.06935912,65
0.353432902,0.160387873,0.499108337,0.260254124,0.004365805,0.00349086,0,0.249331253,0.268947838,0.042041908,0.00028823,0.337940259,0.76359786,0.159050379,0.372492198,0.067309407,0.029937584,1,0.295809184,65
0.453283019,0.120679245,0.357886792,0.204528302,0,0.000336377,0.000741057,0.423924528,0.258188679,0.057011321,0.000138868,0.220830189,0.204981132,0.199018868,0.37245283,0.069086792,0.023116981,1,0.274188679,55
0.339417091,0.161714771,0.548953028,0.199207697,0,0.005083475,0,0.227645727,0.173457838,0.013667233,0.000111969,0.211233729,0.858941709,0.119086022,0.644170911,0.04688738,0.022028862,1,0.209960385,65
0.119794396,0.091433811,0.431402969,0.236323298,0.002811903,0.002980545,0.000272915,0.250682522,0.204249892,0.03746818,0.000225051,0.357772807,0.700515398,0.269872886,0.37293722,0.045493241,0.033044108,1.000225051,0.282711195,65
0.425156325,0.050986051,0.179413179,0.07955748,0,0.002068783,0.000584897,0.331794132,0.096440596,0.021625782,4.02E-05,0.174891775,0.441991342,0.046156806,0.486291486,0.064117364,0.007335257,1,0.102405002,25
0.334350342,0.043156234,0.254182009,0.122461862,0,0.000886902,0.000888164,0.10973172,0.073729616,0.001529721,0.000268595,0.11877959,0.534981589,0.044986849,0.403892688,0.013298264,0.010210416,1,0.15486586,65
0.225114242,0.049882574,0.520002882,0.188084846,0.000905843,0.002816682,0.000523859,0.45488011,0.231602037,0.005922867,9.97E-05,0.076874249,0.195062286,0.207487025,0.092787708,0.005397723,0.011855527,1.000099704,0.352605532,65
0.411649874,0.020573048,0.151070529,0.098110831,0,0.002423804,0,0.218828715,0.094206549,0.012871537,4.71E-05,0.09918136,0.123866499,0.070465995,0.162594458,0.01470403,0.007241814,1,0.12940806,35
0.21028949,0.078293068,0.386722517,0.185918674,0.003851902,0.003849713,0.001092309,0.208830159,0.193944991,0.032740074,0.000370889,0.311202177,0.761040727,0.217002409,0.297046673,0.052222133,0.024983734,1.000370889,0.289093323,65
0.207335757,0.054636465,0.392609082,0.13952998,0.003374956,0.001499223,5.00E-05,0.16832188,0.103923428,0.006864057,0.000165085,0.120363774,0.571408488,0.092764437,0.282296918,0.016159241,0.007613669,1.000050037,0.182803014,65
0.332721474,0.080297662,0.330080827,0.166360737,0.004421983,0.006260533,0.000442638,0.188256098,0.141494648,0.022929615,0.000364959,0.171201922,0.714735017,0.115088182,0.456611811,0.061086958,0.023941863,1.000364959,0.255592587,65
0.664085189,0.055905131,0.233059051,0.102178122,0,0.0035697,0.000672798,0.314327202,0.123765731,0.019370765,3.47E-05,0.158615682,0.355759923,0.092594385,0.423910939,0.038441433,0.006757018,1,0.141384318,55
0.146616392,0.013038301,0.085651915,0.043262552,0,0.00058722,3.14E-05,0.120460409,0.037467752,0.006469538,3.88E-05,0.110041675,0.105318516,0.047767414,0.130561619,0.011369319,0.002625521,1,0.053343917,35
0.258976744,0.075534884,0.182604651,0.099674419,0,0.000974884,0,0.285674419,0.133348837,0.045051163,0.000161023,0.43227907,1,0.072186047,0.904651163,0.078139535,0.005776744,0.241488372,0.205860465,25
