CT,CCT2,CCT5,CCT6A,CCT7,CCT8,pink,Parkin,Atg1,Atg8,FOXO3,SIRT1,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1,GAPDH
W0-1,25.72294426,23.80860138,24.15496445,24.11334229,23.13930511,25.91453552,33.97151566,29.54491806,33.86270905,26.73465538,26.34288788,24.63318825,27.78009033,23.60154152,28.15690994,23.37398529,29.85026169,25.36194801,26.61817169,26.75256538,19.20521355
W0-1,25.59085274,23.82703018,24.04461288,24.21080208,23.03990746,25.49462128,34.05776215,29.9101963,32.19601059,26.13308144,26.02075768,24.77183533,27.25868797,23.38277435,26.55719376,23.14056015,29.49297905,24.29874992,26.44159889,26.423666,19.14745903
W0-1,26.154953,23.88063812,24.1050663,24.28810692,23.08988762,25.79526138,34.24779892,30.10958862,33.78691101,26.38327789,26.13671875,24.33156586,27.50398064,23.4862957,26.50343132,22.9260807,30.11037636,25.02593613,26.56832314,26.59482384,19.1480751
W0-2,25.22943497,23.81925392,24.05364799,23.98545265,23.32321548,27.16729927,34.29043198,31.7688961,34.33509827,27.30008316,25.70137405,23.74915886,26.69988632,23.31844139,26.26668549,22.94181824,32.58863068,27.15069962,29.00251389,28.46606445,19.3857193
W0-2,25.19897079,23.77131653,24.10328865,23.71785355,23.12813377,26.99353981,34.41851044,31.61621475,34.97723389,27.29678726,25.71439171,23.68950462,26.85384941,23.51566887,25.84333801,23.13949776,32.73818207,26.79862022,28.9533577,27.79913902,19.43415833
W0-2,25.84610748,23.59497833,24.03285027,23.67878723,23.12849045,26.73453331,34.71125793,30.65007019,32.65813828,27.00286484,25.43716812,23.71013451,26.97230721,23.221838,26.41571236,22.71561623,32.19194794,27.00930023,28.95361137,27.31504822,19.28840065
W0-3,25.86243439,23.74065971,24.21009254,24.15225029,22.81588745,26.43400764,34.98169327,30.1726284,32.99483109,26.8099575,26.15172195,24.04105377,26.83185005,23.31746864,26.33471107,22.87854576,31.29026222,26.34342003,27.85809898,27.10808945,18.97378349
W0-3,25.75147057,23.98603249,24.31898499,24.27301598,22.96294212,26.75580025,34.57394028,31.3782959,32.73564148,26.6072216,26.26081467,23.94943237,27.1052227,23.37016869,25.8547821,23.18629456,31.3809433,27.97987747,27.96041679,27.73509979,18.81746101
W0-3,26.31715584,23.8464241,24.21198273,24.40821457,23.00493622,26.44624329,34.82168579,31.06159401,33.17765045,26.51234436,26.05484962,24.16332054,27.38360405,23.23715019,26.09697914,22.82084656,31.56289291,27.90249443,27.86933899,27.48413658,18.94895172
W0-4,27.14636421,24.74928474,25.79940987,25.60431099,24.37986565,26.54673386,35.20194626,29.78797913,32.20316696,27.01860046,28.53698158,24.89296913,28.90597916,24.35400963,27.28807068,23.54752731,30.86309624,26.98664474,27.10909653,27.65525436,20.11898422
W0-4,27.420084,24.65922165,25.73474693,25.72954369,24.3942318,27.08424377,34.82177353,31.1074276,32.2752533,26.99918747,28.27828217,25.1595459,28.93954849,24.27651215,27.94221687,23.48221588,30.23480797,26.20558929,27.13066673,26.96006203,20.12906075
W0-4,27.95079803,24.56214333,26.44613838,25.76313591,24.57341957,27.00636482,34.82077408,30.83020401,33.22638702,27.28860855,28.50699425,24.99053383,29.49145889,24.57910919,27.35942459,23.99032974,30.23926353,26.67302132,27.14193535,27.57194328,20.0605793
W0-5,26.31460381,24.28725243,25.00934792,24.98206329,23.84626198,27.21732521,35.00353622,30.45767212,32.77293777,27.00982475,27.31995964,24.77826118,28.30490112,24.04817581,27.17383385,23.73250198,31.07860947,27.51615906,27.71875572,27.83017921,19.92183685
W0-5,26.38714981,24.06461143,25.03943443,24.69775772,23.74491119,26.93893623,35.87560654,29.10877609,32.50022125,27.12883186,27.43016624,24.88021851,28.08320618,24.05834007,27.06954002,23.95142555,30.55706978,27.06298637,27.74669075,27.69570351,19.93676758
W0-5,26.83444595,24.17363739,25.34261131,25.00048256,23.97451019,26.95812035,35.34657669,29.44252586,32.31391525,26.96938324,27.43652344,24.89855194,28.07034302,23.78523064,26.8322258,23.40132523,29.99025917,24.98462296,27.08259773,26.93855286,19.6952858
W0-6,26.35306549,23.97181702,24.92715263,24.61536407,23.64037895,26.98790932,33.8045845,30.6199894,32.76308441,27.09157562,26.29322624,24.6712513,27.11291695,23.56021881,29.53825569,23.35612106,31.99648285,26.85559845,27.30780792,27.58924675,19.91512489
W0-6,25.93012047,23.78825951,24.77483749,24.37512016,23.48972702,26.51526833,34.31782532,30.43619156,32.75881195,27.13908005,26.06625938,24.34178162,27.0906105,23.24745941,29.00027847,23.23517799,31.99430466,26.74687195,27.42169952,27.36686707,19.92428207
W0-6,29.65084648,24.26918983,25.40288162,25.1924839,24.09020042,27.21763611,33.80045319,31.39486313,32.67890549,26.99378586,26.28581238,24.02093315,28.03011894,23.90427208,28.97468948,23.31158066,33.06968689,27.24991608,27.67493439,27.52203178,19.98907471
W0-7,26.95182419,23.96590424,24.73849869,25.06858444,23.74067688,25.12888527,33.97416687,28.89995384,31.97506142,25.32992935,26.83509445,24.74604988,27.56257248,23.90371895,27.92907333,23.60114288,28.98203468,23.82653999,25.27208138,25.8373909,19.8877182
W0-7,26.59220886,24.22561264,24.838871,24.98730469,23.86994171,25.32522202,34.64733124,28.6167469,31.62037468,25.56263542,26.90990829,25.15615082,27.97977448,24.29961967,28.09263802,24.02368164,30.47578812,25.16698837,25.88040543,25.97196579,20.36043549
W0-7,27.22549629,24.14703941,24.95591545,24.8955307,23.79827499,25.12606239,35.22225189,28.1499176,32.21559906,25.34334373,26.55703926,24.9223175,28.27998734,23.86102867,27.86071014,23.8091507,29.11011887,24.16914368,25.29082108,25.40475845,19.97726059
W0-8,26.82157516,23.83878517,24.96645546,24.8534317,23.270298,26.21034813,34.99694061,29.68473625,31.51802826,26.45367241,26.65025139,25.15127563,27.51939011,23.82435799,28.35147858,23.5200386,29.59899521,24.5641098,26.09536362,26.2680378,20.10874748
W0-8,25.76491356,23.23914909,24.35231972,24.31978035,22.56571198,25.42734146,35.27552032,28.81320572,31.69807625,25.59474564,26.36709023,23.88987732,26.97903633,23.09893227,27.44827461,22.85809517,28.97296143,24.19769287,25.56723213,25.72481728,19.16601181
W0-8,26.43473434,23.20243835,24.33245659,24.53000069,22.59602547,25.31582642,34.88960648,28.79258919,31.64434624,24.89936829,25.89076805,23.95127869,27.47615242,22.79167938,27.00695229,22.6346283,28.7800312,23.74236298,25.28958321,25.44852066,18.97457504
W4-1,25.32003784,23.35830307,23.9297142,23.95751762,22.92273903,25.76083755,36.25963593,28.29296112,33.08063126,26.31253815,25.81171036,24.28614426,27.07784081,23.60145187,27.08426094,23.31148529,28.39139557,23.64853668,25.86830521,25.42074776,19.18222046
W4-1,25.16042328,23.36895943,23.97872162,23.98070526,22.95326614,26.20931053,35.02057648,28.24417305,32.45616913,25.98606873,25.55781555,24.69090271,26.98243141,23.49373245,26.97756195,23.21946526,28.81639671,23.47529793,25.88794708,25.43747711,19.15339851
W4-1,25.59106255,23.14523315,23.92194748,23.6800766,22.84408379,25.41755867,35.1324234,27.96691132,32.12668991,25.98854065,25.61711884,24.12012482,27.26912689,23.91416168,26.98792267,23.11360931,28.76724815,23.37527084,25.75826836,25.39524078,19.2046814
W4-2,24.90613556,23.22586441,23.84191895,23.65548897,23.19962311,26.43597031,36.14067078,29.29586983,32.46631241,26.39043427,25.38778687,23.76475334,26.38215828,23.3315258,27.1294136,22.92971802,30.49308968,25.16932869,27.34073257,27.34916496,19.29311371
W4-2,24.94399261,22.98572159,23.60338974,23.37080383,22.76568031,26.99356079,36.32577896,29.08462906,32.18368149,26.32127762,25.08751678,23.69274521,26.49191093,23.27777481,27.14276314,22.63823128,30.03423882,24.97521782,26.96527672,26.78628922,19.00494003
W4-2,25.46375084,23.1227684,23.59629631,23.35811615,23.0798111,26.09187317,37.2846756,29.04645729,31.6713829,26.33892059,24.91992188,23.50579262,26.86063385,23.08054924,27.37105751,22.52690125,29.4561348,24.87240219,26.77563095,26.26210594,18.98745155
W4-3,25.36545181,23.23640251,24.14877892,23.41295433,22.64743805,24.55305672,36.89972687,27.23282051,30.94992065,26.24164009,26.21502686,24.84552383,26.70056152,23.4944973,27.20902634,23.21694946,28.15216637,22.63536072,25.13993073,25.14154434,19.12004662
W4-3,25.65633011,23.17852974,24.0969944,24.00690842,22.82126045,24.66941643,35.02878952,27.52015495,32.74348068,26.51106644,27.21158218,24.5042038,27.29072571,23.47937393,27.17834854,23.17287254,28.18294334,22.95423317,25.13877869,25.10510254,19.08052254
W4-3,25.93335724,23.22828484,24.05127525,23.35437965,23.03807068,24.52513504,35.38267517,27.16374779,31.91861343,25.75692749,26.41442299,24.97849464,27.32799721,23.48588562,27.15016937,23.23181152,28.20689964,23.2025032,25.55750656,25.21228027,19.07706261
W4-4,25.89001656,23.43029976,24.1899395,24.67967606,23.2785511,24.3380127,35.33057022,27.26952553,31.49189186,25.58267593,27.04255867,24.71940041,27.41908646,24.18412209,27.27892685,23.54764748,28.51117134,23.59328461,24.97422218,25.61006165,19.72681618
W4-4,25.83463478,23.06968689,24.04966354,23.67435646,23.07504845,24.5050621,37.23138428,26.59408951,31.96464348,25.50637627,27.2099514,24.68333817,27.72405243,24.1315136,27.67706871,23.58993721,28.59231186,23.90321541,25.27931595,25.1169796,19.658144
