,,CCT2,CCT5,CCT6A,CCT7,CCT8,Pink1,Parkin,Atg1,Atg8,FOXO,PARP1,SIRT1,PARP2,NADSYN,MRPS5,Ubl-5,SOD3,RETL1,TERT,TERC,GAPDH
42,W0_sub1_youth,27.33133316,23.92391205,26.9095726,29.95852089,24.85684586,28.99884796,28.99884796,34.65369415,30.90010452,30.67817879,31.4306736,27.98620605,29.54858017,28.59937668,37.00275421,34.28284073,24.90750313,29.7928791,33.84963989,28.8314209,19.9960289
,,27.38387871,24.02129173,26.68516731,30.30418587,24.58986282,29.3533287,29.3533287,33.68112564,30.78037834,29.92530823,31.95389938,28.4622364,31.96388245,28.76038551,35.44072723,34.89512253,24.67181206,29.71992302,33.92063141,28.22152901,21.18001366
,,27.30881119,23.90404701,26.78839111,29.73809242,25.05530357,28.97465324,28.97465324,34.00857544,30.92389488,29.96301651,31.90812492,28.21613693,31.92567635,28.80817413,34.65164948,34.63223648,24.89391708,29.89133453,33.68098068,28.57472229,20.06364822
49,W0_sub2_youth,26.87067223,24.03069305,26.66185379,26.38336372,24.92268753,27.42312622,27.42312622,33.60087204,30.75363731,29.49970055,30.89510155,27.69030762,30.92078018,26.3027935,34.40430832,33.44364929,24.95117378,28.79276848,32.94080734,27.94722939,19.89137077
,,26.62248039,23.69155121,26.37181091,26.3429718,24.96787262,27.90138817,27.90138817,32.92232132,30.92515945,28.89147568,31.48173523,27.47821617,30.69954872,26.5145607,33.16970062,33.73124695,24.92926025,28.92741394,32.93787384,27.54382324,19.98801994
,,26.89635468,24.08427811,26.51109505,26.25680923,25.20111847,27.61279678,27.61279678,33.17170715,30.69296074,28.92112923,31.15884972,27.61745071,30.72249603,26.55867767,33.07875824,33.83886719,24.93004417,28.92885208,32.93491745,27.58717346,20.00737381
34,W0_sub3_youth,27.52772903,23.88850212,25.79873657,27.93338776,25.06892776,25.50156975,25.50156975,31.82357597,30.89468765,26.93373871,31.18296051,28.94437027,29.69791603,28.31814575,34.6084137,31.22995567,26.34951782,26.34142685,30.14167023,26.404953,20.98561096
,,27.49022293,23.89923477,25.65363884,27.93478012,24.91668892,25.84863853,25.84863853,31.16930199,30.58945847,26.56709099,31.95378494,28.96221542,31.91141701,28.6682148,33.70397949,31.3772049,26.39219475,26.42988586,30.39167976,25.93824005,20.9692955
,,27.5260582,23.89761353,25.89584351,27.9496994,25.17259598,25.52677727,25.52677727,31.27933693,30.52982712,26.62115479,31.90938759,28.94507599,31.89970398,28.4239769,33.5491066,31.5574379,26.25520706,26.56273651,30.1433506,26.05565071,20.83712769
35,W0_sub4_youth,26.28292084,23.6581707,26.05442047,26.79117012,24.52444077,28.42704773,28.42704773,33.69387054,30.93193245,29.92941284,29.26492691,26.92536545,27.33097458,26.9234314,34.46053696,33.95544052,24.61478806,28.93264771,33.12026978,28.6677475,19.34902191
,,26.16783524,23.61678696,25.91493416,26.89672279,24.4491539,29.10736847,29.10736847,33.17610931,30.84113693,29.50460434,29.90572548,27.04937744,29.5295105,26.93291855,33.25675201,33.93858337,24.5503006,29.10234261,33.92928696,28.2460041,19.47693253
,,26.67235565,23.14834785,26.14570427,26.68619347,24.74570274,28.82796669,28.82796669,33.4810791,30.46930885,29.53985977,30.2291832,26.94618416,29.61650658,26.93395233,32.72052002,34.34539413,24.38083076,29.2892704,33.78832626,28.21746826,19.29886818
38,W0_sub5_youth,27.44252205,24.34274673,26.22497749,28.94599342,25.27435875,26.89126587,26.89126587,32.92597198,30.83790398,28.22560692,31.73566055,29.42646408,29.2419281,29.27023315,35.45554352,32.53809738,25.93416977,27.66384888,31.59027481,27.33490181,21.3834877
,,27.72096252,24.37575531,25.97566795,28.97080994,25.19800377,27.24321365,27.24321365,32.0803833,30.70869827,27.83423042,32.2983551,29.40977287,31.17775154,29.39621735,34.99580765,32.22242355,25.96417427,27.77905464,31.61401749,26.94148445,21.49625969
,,27.75622749,24.39081573,26.18317986,28.92825699,25.46452904,26.9126339,26.9126339,32.30421066,30.6425457,27.84031105,32.42430878,29.55739212,31.53732872,29.52675056,34.72138596,32.75656891,25.8503437,27.91889572,31.57806206,26.94452095,21.26986694
32,W0_sub6_youth,29.9158268,24.93066978,27.58225822,34.26198196,25.61203194,28.2830162,28.2830162,33.89920425,31.2743187,29.47610092,33.97344208,30.90579987,32.09656906,33.20415115,36.88177872,33.64348984,27.46157837,28.97122574,32.69006348,28.24507523,22.30338478
,,30.01015854,24.92855072,27.40587044,35.62783813,25.69518852,28.65460014,28.65460014,33.32886124,30.85315514,29.05335617,34.28461075,31.69231415,34.14320755,33.14092636,37.02216339,33.38550186,27.25032425,28.98666,32.91827774,27.95990181,22.411129
