,,CCT2,CCT5,CCT6A,CCT7,CCT8,pink,Parkin,Atg1,Atg8,FOXO3,SIRT1,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1,RPLP0
59,W0_sub1,26.98745728,23.48024559,23.97081757,23.99219704,23.30051994,23.07833481,34.14450455,26.36292267,29.87431145,25.37628746,29.86096191,27.96385384,29.58192253,27.23652077,27.50825882,25.41191101,26.89119148,21.58127594,23.63823128,23.50630951,21.38146973
,,26.73333931,23.51308823,23.93977547,23.92863083,23.25456047,22.93120575,34.47330093,26.12630844,29.86211586,25.34498596,30.16102219,27.70349503,29.22919655,27.05610275,27.26535416,25.31689453,26.85622787,21.3626442,23.5939312,23.49334908,21.33484268
,,27.11104965,23.66335678,24.03380966,23.93504906,23.21862602,22.9622345,34.56972122,25.96719742,29.82097626,25.15198708,30.01994133,27.40465355,29.65346527,26.97891235,27.28944016,25.25859642,26.66542053,21.09348297,23.48992157,23.51644135,21.23770905
46,W0_sub2,26.54988289,23.51452637,23.83859062,23.63832664,23.20444298,23.05516243,34.87039566,26.16181946,30.33763313,25.18884277,28.64398193,26.45896339,27.97701263,25.3149929,27.09488869,24.25282478,26.94355583,21.2973423,23.73943901,24.28885078,21.26055717
,,26.59920311,23.52020454,24.01058769,23.58653641,23.2079258,22.99353027,34.82628632,26.17166328,30.16609383,25.28307343,28.46549988,26.51645088,27.75121689,25.28341103,27.15567207,24.21097374,26.84848022,21.20529938,23.67836189,23.73729515,21.2790432
,,26.90701103,23.56994629,23.99054337,23.89432907,23.25594711,23.03862381,34.81113052,25.97160149,30.16257095,25.14786911,28.59159088,26.21666718,28.55376244,25.32275772,27.22277069,24.18808365,26.64274216,21.14167404,23.6574955,23.62163734,21.16872406
60,W0_sub3,26.31381607,23.31258011,23.82305145,23.51158524,22.91937447,22.92185974,34.91910553,25.99604416,30.20362663,25.76001549,26.96918678,25.82000923,27.64457512,24.96723557,27.02123451,24.25169182,26.64966774,21.02273178,23.48587418,23.4834404,21.0186615
,,26.11326599,23.5077858,23.86700058,23.51311302,22.85485268,22.90638733,35.7269516,25.92502403,29.93927002,25.80232048,27.23459244,25.72518158,27.70302391,24.82322693,26.80312347,24.30136299,26.53289604,21.007967,23.52438354,23.48135757,20.92531586
,,26.68658257,23.38802147,23.88416862,23.82307816,22.94028473,22.90604782,34.99330139,25.78636932,29.880373,25.58359146,26.81583405,25.50387955,28.43386459,24.94526863,26.8216114,24.25304222,26.62164879,20.97735786,23.47203827,23.35115433,20.97554207
62,W0_sub4,26.49258232,23.67853737,24.14904594,23.85800552,23.1363945,23.21964645,34.91929626,25.96868515,30.64768791,26.31409454,32.07498169,27.3231926,29.32483101,28.30296135,27.24145317,24.88301277,26.67966652,21.04407692,23.66441917,23.82389259,21.27592278
,,26.63126945,23.68416977,24.12287712,23.79861259,23.12046623,23.12318993,35.21339417,25.85103989,30.65010834,26.2224865,32.36251068,27.63449287,29.16609573,28.62439346,27.29032135,24.95134735,26.70412064,20.95639801,23.7066021,23.62198067,21.19244576
,,26.96912575,23.59274483,24.83322525,24.07135582,23.22401237,23.1336937,34.8108902,25.97583008,30.97231674,26.01490593,32.29836273,27.22106361,29.68462563,28.29458237,27.32151222,24.91266441,26.74711037,21.23633575,23.68899536,23.65808296,21.20829582
62,W0_sub5,26.81682396,23.85863686,24.31578827,24.22523499,23.56427193,23.71798706,34.75401688,25.9882431,30.22795105,26.53136444,30.84241295,27.91745186,28.96011162,26.89682388,27.20804214,24.5512886,27.14008713,21.39897919,24.07723618,24.07901764,21.83401871
,,26.94847679,24.13888359,24.45121002,24.42534256,23.58311844,23.53348351,34.93050766,26.13174629,30.19668007,26.47300911,30.28695869,27.56193733,28.88001633,26.86438751,27.28421593,24.77223587,27.06663895,21.48456764,24.13731384,24.13233757,21.87677002
,,27.40320587,23.73419762,24.70861244,24.33693886,23.63365173,23.58727646,34.98537445,25.72146797,30.44695091,26.56333351,30.41841507,27.39309883,29.08423805,26.83583069,27.10472679,24.59734726,26.98440552,21.45402145,24.15504456,24.15097427,21.74310493
59,W2_sub1,25.97305107,23.43940735,24.30170822,24.17245293,23.10583687,26.60102463,35.22653198,31.21124268,32.55256271,26.76114273,27.0587635,24.97867775,26.97642708,23.15538216,29.0366497,22.94038963,30.59049034,31.11109543,27.06298256,27.58180428,20.46579552
,,26.0194416,23.66611481,24.2285862,24.38245201,22.93861771,26.37180138,35.64640045,31.24809837,33.06764984,26.695364,26.98606873,24.83703995,27.19339561,22.94696808,27.60601807,22.82940292,30.90825844,32.02226639,26.96583366,27.28084183,20.29467773
,,26.18090439,23.65506554,24.46588516,24.23849487,22.99661827,26.46598244,35.72873306,31.08308792,32.50107193,26.80939865,27.02047729,24.02352333,27.19215775,23.19271469,27.68803787,23.61542892,30.91078568,32.18471527,26.84476089,27.34589195,20.18807793
46,W2_sub2,25.73587036,23.88977432,24.20113754,23.68852425,22.89613914,24.37424088,35.97190475,29.45246887,32.19660187,25.52625656,25.88553047,23.61888885,27.11971474,23.03397369,27.21013832,23.28602982,28.62759399,29.57453918,25.24037933,25.84985352,20.79283333
,,25.78774261,23.88235283,24.37528229,23.6918087,22.80593681,24.53437042,35.91675186,29.65327454,31.41463089,25.38708687,26.29852867,23.68544006,26.89413071,23.08632851,27.28063583,23.34513664,28.45907211,29.6270256,25.144701,25.28195953,20.81833839
