,CCT2,CCT5,CCT6A,CCT7,CCT8,pink,Atg1,Atg8,FOXO3,SIRT1,PARP1,PARP2,NADSYN,MRPS5,UBL5,SOD3,TERT,TERC,RTEL1,age
7,1.190005102,1.080306359,1.111922597,1.090486538,1.074961313,1.123641031,1.218220242,1.404354644,1.151857806,1.229712389,1.113307241,1.243533851,1.080885988,1.238924526,1.097176338,1.252662177,1.022540008,1.144064254,1.13856258,23
2,1.330338785,1.19428164,1.329069452,1.330457306,1.251195044,1.386258328,1.651011794,1.524979604,1.437341292,1.487488054,1.393547729,1.495489591,1.354002379,1.741026416,1.663978236,1.231073905,1.628362642,1.376647792,1.428163493,28
3,1.184277407,1.10917088,1.122882721,1.105649688,1.094096714,1.182584499,1.341349256,1.473710051,1.222041605,1.194940897,1.114224046,1.250320846,1.100084876,1.287809965,1.101544878,1.361553295,1.136749048,1.2361946,1.232243057,28
5,1.162185085,1.077332826,1.104810372,1.080641572,1.07240654,1.182540944,1.328481505,1.472493265,1.205886908,1.177264504,1.068073015,1.217629334,1.061931358,1.222251679,1.06928588,1.363951027,1.146916706,1.236399194,1.216988503,28
6,1.162630552,1.067177559,1.097453224,1.06917912,1.056808466,1.184411698,1.314398556,1.453918816,1.195452639,1.146105642,1.06929368,1.216719014,1.041542188,1.24135519,1.062136517,1.353933578,1.138414176,1.21457535,1.218722076,28
50,1.330338785,0.79618776,1.329069452,1.330457306,1.251195044,1.386258328,1.651011794,1.524979604,1.437341292,1.393547729,1.487488054,1.495489591,1.354002379,1.741026416,1.663978236,1.231073905,1.628362642,1.376647792,1.428163493,28
1,1.34726509,1.243745039,1.257455712,1.262805341,1.204664339,1.342668075,1.557626754,1.736423171,1.378260595,1.365205975,1.282358794,1.435507576,1.225559917,1.412460504,1.20764736,1.555694851,1.298881094,1.384818406,1.38730466,29
4,1.182870727,1.108018933,1.116644596,1.092407617,1.088262883,1.233419629,1.406505006,1.489338849,1.247746119,1.185293299,1.087035082,1.236285066,1.077453637,1.269097195,1.083742267,1.489930474,1.233680936,1.371175184,1.306173003,29
10,1.341120361,1.201130074,1.237571979,1.244514807,1.185693688,1.254954749,1.422433027,1.590873825,1.265842824,1.333358068,1.242407696,1.391810007,1.196577361,1.392807712,1.186110151,1.470607429,1.214813927,1.269286543,1.282085247,32
11,1.356603023,1.20654379,1.264413278,1.265305666,1.174812317,1.321105501,1.498567016,1.628524203,1.321007136,1.35466114,1.253103275,1.40730499,1.19683719,1.421590589,1.184781987,1.499622079,1.244720931,1.321082547,1.329480871,32
15,1.340785377,1.116533688,1.2335997,1.556816616,1.153105072,1.270830743,1.507022514,1.386158264,1.309028605,1.539339891,1.40230764,1.493888113,1.485710071,1.656202383,1.507796607,1.224161321,1.472318949,1.256538905,1.301897638,32
16,1.287197363,1.130289597,1.237128208,1.265637878,1.203993076,1.24009365,1.506842662,1.43804486,1.286899968,1.464017746,1.372229292,1.483088735,1.334724126,1.634396834,1.515098476,1.221183124,1.464053,1.267043782,1.285163414,32
48,1.340785377,1.116533688,1.2335997,1.556816616,1.153105072,1.270830743,1.507022514,1.386158264,1.309028605,1.40230764,1.539339891,1.493888113,1.485710071,1.656202383,1.507796607,1.224161321,1.472318949,1.256538905,1.301897638,32
